Species,Species and authority,Category,Use,Group,Location,No. of occurrences in GBIF,Authors,Title,Journal,Volume,Pages,Ist quartile,Median,3rd quartile,Notes
Solanum verbascifolium,Solanum verbascifolium L.,Health care,"treating skin, genital and breast cancer",Medicine: Cancer,Ashanti Region,24,"Agyare, C., Spiegler, V., Asase, A., Scholz, M., Hempel, G., & Hensel, A. (2018) ","An ethnopharmacological survey of medicinal plants traditionally used for cancer treatment in the Ashanti region, Ghana",Journal of ethnopharmacology ,212,137-152,NA,NA,NA,
Solanum verbascifolium,,Health care,treating wounds and infections,Medicine: Wound healing,Eastern Region,24,"Pesewu, G. A., Cutler, R. R., & Humber, D. P. (2008)",Antibacterial activity of plants used in traditional medicines of Ghana with particular reference to MRSA.,Journal of ethnopharmacology ,116(1),102-121,NA,NA,NA,
Sorghum bicolor,,Health care,used to strengthen pregnant women,Medicine: Antenatal care,"Greater Accra, Ashanti,Northern,Central, Eastern Regions",0,"Van Andel, T., Myren, B., & Van Onselen, S. (2012)",Ghana's herbal market,Journal of Ethnopharmacology,140(2),368-378,1981,1981,1982,
Sorghum bicolor,,Health care,for treating anemia,Medicine: Blood booster,"Greater Accra, Ashanti,Northern,Central, Eastern Regions",0,"Van Andel, T., Myren, B., & Van Onselen, S. (2012)",Ghana's herbal market,Journal of Ethnopharmacology,140(2),368-378,1981,1981,1982,
Spathodea campanulata,Spathodea campanulata P. Beauv.,Health care,treating typhoid fever,Medicine: Fever,Asanti Region,33,"Appiah, K. S., Mardani, H. K., Osivand, A., Kpabitey, S., Amoatey, C. A., Oikawa, Y., & Fujii, Y. (2017)",Exploring Alternative Use of Medicinal Plants for Sustainable Weed Management,Sustainability,9(8),1468,1928,1944,1994,
Spathodea campanulata,Spathodea campanulata P. Beauv.,Health care,treating malaria,Medicine: Malaria,Asanti Region,33,"Appiah, K. S., Mardani, H. K., Osivand, A., Kpabitey, S., Amoatey, C. A., Oikawa, Y., & Fujii, Y. (2017)",Exploring Alternative Use of Medicinal Plants for Sustainable Weed Management,Sustainability,9(8),1468,1928,1944,1994,
Spathodea campanulata,Spathodea campanulata P. Beauv.,Health care,treating wounds,Medicine: Wound healing,Asanti Region,33,"Appiah, K. S., Mardani, H. K., Osivand, A., Kpabitey, S., Amoatey, C. A., Oikawa, Y., & Fujii, Y. (2017)",Exploring Alternative Use of Medicinal Plants for Sustainable Weed Management,Sustainability,9(8),1468,1928,1944,1994,
Spathodea campanulata,Spathodea campanulata P. Beauv.,Health care,treating malaria,Medicine: Malaria,Ashanti Region,33,"Komlaga, G., Agyare, C., Dickson, R. A., Mensah, M. L. K., Annan, K., Loiseau, P. M., & Champy, P. (2015)","Medicinal plants and finished marketed herbal products used in the treatment of malaria in the Ashanti region, Ghana",Journal of ethnopharmacology ,172,333-346,1928,1944,1994,
Spathodea campanulata,Spathodea campanulata P.Beauv,Health care,treating malaria,Medicine: Malaria,Ashanti Region,35,"Asase, A., & Asafo-Agyei, T. (2011)",Plants used for treatment of malaria in communities around the Bobiri forest reserve in Ghana,"Journal of herbs, spices & medicinal plants ",17(2) ,85-115,1928,1944,1994,
Spathodea campanulata,Spathodea campanulata P. Beauv.,Health care,"trearing stomach, skin and throat cancer",Medicine: Cancer,Ashanti Region,34,"Agyare, C., Spiegler, V., Asase, A., Scholz, M., Hempel, G., & Hensel, A. (2018) ","An ethnopharmacological survey of medicinal plants traditionally used for cancer treatment in the Ashanti region, Ghana",Journal of ethnopharmacology ,212,137-152,1928,1944,1994,
Spathodea campanulata,,Health care,treating skin ulcer,Medicine: Ulcer,Brong-Ahafo Region,,"Henry, S. G., Francis, A., & Kofi, A. (2013)",Ethnobotanical survey of medicinal plants used for the treatment of diarrhoea and skin ulcer in the Brong Ahafo region of Ghana,Journal of Medicinal Plants Research ,7(44) ,3280-3285,1928,1944,1994,
Spathodea campanulata ,Spathodea campanulata P. Beauv.,Health care,treating stroke,Medicine: Stroke,Greater Accra Region,33,"Boadu, A. A., & Asase, A. (2017)",Documentation of herbal medicines used for the treatment and Management of Human Diseases by some communities in southern Ghana,Evidence-Based Complementary and Alternative Medicine ,,2017,1928,1944,1994,
Sphenocentrum jollyanum,Sphenocentrum jollyanum Pierre,Health care,treating diabetes,Medicine: Diabetes,Greater Accra Region,78,"Boadu, A. A., & Asase, A. (2017)",Documentation of herbal medicines used for the treatment and Management of Human Diseases by some communities in southern Ghana,Evidence-Based Complementary and Alternative Medicine ,,2017,1953,1953,1962,
Sphenocentrum jollyanum,,Health care,used  as aphrodisiac,Medicine: Infertility,"Greater Accra, Ashanti,Northern,Central, Eastern Regions",78,"Van Andel, T., Myren, B., & Van Onselen, S. (2012)",Ghana's herbal market,Journal of Ethnopharmacology,140(2),368-378,1953,1953,1962,
Spondias monbim,Spondias mombim L . ,Health care,treating wounds,Medicine: Wound healing,Volta Region,17,"Barku, V. Y., Opoku-Boahen, Y., & Dali, G. A. (2015)","Ethnobotanical study of wound healing plants in Kpando Traditional Area, Ghana",International Journal of Phytomedicine ,6(4) ,564-572,NA,NA,NA,
Stachytarpheta indica,Stachytarpheta indica (L.)Vahl.,Health care,treating breast and skin cancer,Medicine: Cancer,Ashanti Region,41,"Agyare, C., Spiegler, V., Asase, A., Scholz, M., Hempel, G., & Hensel, A. (2018) ","An ethnopharmacological survey of medicinal plants traditionally used for cancer treatment in the Ashanti region, Ghana",Journal of ethnopharmacology ,212,137-152,1956,1980,2016,
Sterculia setigera,Sterculia setigera Del.,Health care,treating malaria,Medicine: Malaria,Upper West Region,40,"Asase, A., Oteng-Yeboah, A. A., Odamtten, G. T., & Simmonds, M. S. (2005)",Ethnobotanical study of some Ghanaian anti-malarial plants,Journal of Ethnopharmacology ,99(2) ,273-279,1938,1980,1996,
Sterculia setigera,Sterculia setigera Delile,Health care,treating malaria,Medicine: Malaria,Upper West Region,40,"Asase, A., & Oteng-Yeboah, A. A. (2012)",Plants used in Wechiau Community Hippopotamus Sanctuary in Northwest Ghana,Ethnobotany Research and Applications,10,605-618,1938,1980,1996,
Sterculia setigera,Sterculia setigera Delile,Energy,used as fuel wood for cooking,Fuel,Upper West Region,40,"Asase, A., & Oteng-Yeboah, A. A. (2012)",Plants used in Wechiau Community Hippopotamus Sanctuary in Northwest Ghana,Ethnobotany Research and Applications,10,605-618,1938,1980,1996,
Sterculia tragacantha,Sterculia tragacantha Lindl.,Health care,treating breast cancer,Medicine: Cancer,Ashanti Region,42,"Agyare, C., Spiegler, V., Asase, A., Scholz, M., Hempel, G., & Hensel, A. (2018) ","An ethnopharmacological survey of medicinal plants traditionally used for cancer treatment in the Ashanti region, Ghana",Journal of ethnopharmacology ,212,137-152,1937,1955,1988,
Strophanthus gratus,Strophanthus gratus (Wall. & Hook.) Baill.,Health care,treating skin cancer,Medicine: Cancer,Ashanti Region,41,"Agyare, C., Spiegler, V., Asase, A., Scholz, M., Hempel, G., & Hensel, A. (2018) ","An ethnopharmacological survey of medicinal plants traditionally used for cancer treatment in the Ashanti region, Ghana",Journal of ethnopharmacology ,212,137-152,1970,1994,1995,
Strophanthus hispidus,"Strophanthus hispidus
DC. ",Agriculture,used as arrow poisoning of rodents,Pest control,Upper West Region,75,"Asase, A., & Oteng-Yeboah, A. A. (2012)",Plants used in Wechiau Community Hippopotamus Sanctuary in Northwest Ghana,Ethnobotany Research and Applications,10,605-618,1974,1977,1996,
Strophanthus hispidus,,Health care,treating STDs,Medicine: STDs,"Greater Accra, Ashanti,Northern,Central, Eastern Regions",75,"Van Andel, T., Myren, B., & Van Onselen, S. (2012)",Ghana's herbal market,Journal of Ethnopharmacology,140(2),368-378,1975,1977,1996,
Strophanthus hispidus,,Health care,fever during pregnancy,Medicine: Fever,"Greater Accra, Ashanti,Northern,Central, Eastern Regions",75,"Van Andel, T., Myren, B., & Van Onselen, S. (2012)",Ghana's herbal market,Journal of Ethnopharmacology,140(2),368-378,1975,1977,1996,
Strophanthus hispidus,,Health care,treating body pains,Medicine: Analgesic,"Greater Accra, Ashanti,Northern,Central, Eastern Regions",75,"Van Andel, T., Myren, B., & Van Onselen, S. (2012)",Ghana's herbal market,Journal of Ethnopharmacology,140(2),368-378,1975,1977,1996,
"Strychnos innocua
",Strychnos innocua Del.,Health care,treating malaria,Medicine: Malaria,Upper West Region,26,"Asase, A., Oteng-Yeboah, A. A., Odamtten, G. T., & Simmonds, M. S. (2005)",Ethnobotanical study of some Ghanaian anti-malarial plants,Journal of Ethnopharmacology ,99(2) ,273-279,1960,1965,1995,
"Strychnos innocua
","Strychnos innocua 
Delile ",Health care,treating malaria,Medicine: Malaria,Upper West Region,26,"Asase, A., & Oteng-Yeboah, A. A. (2012)",Plants used in Wechiau Community Hippopotamus Sanctuary in Northwest Ghana,Ethnobotany Research and Applications,10,605-618,1960,1965,1995,
Strychnos spinosa,Strychnos spinosa Lam.,Health care,treating malaria,Medicine: Malaria,Upper West Region,67,"Asase, A., & Oteng-Yeboah, A. A. (2012)",Plants used in Wechiau Community Hippopotamus Sanctuary in Northwest Ghana,Ethnobotany Research and Applications,10,605-618,1957,1994,1996,
Strychnos spinosa,Strychnos spinosa Lam.,Health care,treating malaria,Medicine: Malaria,Upper West Region,67,"Asase, A., Oteng-Yeboah, A. A., Odamtten, G. T., & Simmonds, M. S. (2005)",Ethnobotanical study of some Ghanaian anti-malarial plants,Journal of Ethnopharmacology ,99(2) ,273-279,1957,1994,1996,
Synedrella nodiflora,,Agriculture,used for preserving food,Post-harvest protectant,"Northern, Upper East and Upper West Regions",33,"Belmain, S. R., Neal, G. E., Ray, D. E., & Golob, P. (2001)",Insecticidal and vertebrate toxicity associated with ethnobotanicals used as post-harvest protectants in Ghana,Food and Chemical Toxicology,39(3),287-295,1930,1954,1968,
Synedrella nodiflora,,Agriculture,protecting stored products,Post-harvest protectants,"Northern, Upper East and Upper West Regions",36,"Belmain, S., & Stevenson, P. (2001)",Ethnobotanicals in Ghana: reviving and modernising age-old farmer practice,Pesticide outlook ,12(6) ,233-238,1930,1954,1968,
Tabernaemontana crassa,Tabernaemontana crassa Benth.,Health care,treating lung cancer,Medicine: Cancer,Ashanti Region,45,"Agyare, C., Spiegler, V., Asase, A., Scholz, M., Hempel, G., & Hensel, A. (2018) ","An ethnopharmacological survey of medicinal plants traditionally used for cancer treatment in the Ashanti region, Ghana",Journal of ethnopharmacology ,212,137-152,1977,1977,1977,
Talbotiella gentii,Talbotiella gentii Hutch. & Greenway,Health care,treating cancer,Medicine: Cancer,Brong-Ahafo Region,102,"Addo-Fordjour, P., Belford, E. J. D., & Akonnor, D. (2013)","Diversity and conservation of medicinal plants in the Bomaa community of the Brong Ahafo region, Ghana",Journal of medicinal plants research ,2(9) ,226-233,1952,1968,1974,
Talinum triangulare,,Health care,treating diarrhoea,Medicine: Diarrhoea,Brong-Ahafo Region,,"Henry, S. G., Francis, A., & Kofi, A. (2013)",Ethnobotanical survey of medicinal plants used for the treatment of diarrhoea and skin ulcer in the Brong Ahafo region of Ghana,Journal of Medicinal Plants Research ,7(44) ,3280-3285,NA,NA,NA,
Tamarindus indica,Tamarindus indica L.,Food and nutrition,"fruits are eaten raw, leaves are used in preparing porridge",Food,Upper West Region,33,"Asase, A., & Oteng-Yeboah, A. A. (2012)",Plants used in Wechiau Community Hippopotamus Sanctuary in Northwest Ghana,Ethnobotany Research and Applications,10,605-618,1956,1973,1996,
Tamarindus indica,Tamarindus indica L.,Agriculture,used for feeding livestocks,Fodder,Upper West Region,33,"Asase, A., & Oteng-Yeboah, A. A. (2012)",Plants used in Wechiau Community Hippopotamus Sanctuary in Northwest Ghana,Ethnobotany Research and Applications,10,605-618,1956,1973,1996,
Tamarindus indica,Tamarindus indica L.,Energy,used as fuel wood for cooking,Fuel,Upper West Region,33,"Asase, A., & Oteng-Yeboah, A. A. (2012)",Plants used in Wechiau Community Hippopotamus Sanctuary in Northwest Ghana,Ethnobotany Research and Applications,10,605-618,1956,1973,1996,
Tamarindus indica,Tamarindus indica L.,Construction,used for roofing buildings ,Building materials,Upper West Region,33,"Asase, A., & Oteng-Yeboah, A. A. (2012)",Plants used in Wechiau Community Hippopotamus Sanctuary in Northwest Ghana,Ethnobotany Research and Applications,10,605-618,1956,1973,1996,
Tamarindus indica,Tamarindus indica L.,Health care,treating malaria,Medicine: Malaria,Upper West Region,33,"Asase, A., Oteng-Yeboah, A. A., Odamtten, G. T., & Simmonds, M. S. (2005)",Ethnobotanical study of some Ghanaian anti-malarial plants,Journal of Ethnopharmacology ,99(2) ,273-279,1956,1973,1996,
Tecoma stans,Tecoma stans (L.) Juss. ex Kunth,Health care,treating skin and breast cancer,Medicine: Cancer,Ashanti Region,13,"Agyare, C., Spiegler, V., Asase, A., Scholz, M., Hempel, G., & Hensel, A. (2018) ","An ethnopharmacological survey of medicinal plants traditionally used for cancer treatment in the Ashanti region, Ghana",Journal of ethnopharmacology ,212,137-152,1994,1994,1994,
Tectona grandis,Tectona grandis L. f.,Health care,treating malaria,Medicine: Malaria,Ashanti Region,9,"Komlaga, G., Agyare, C., Dickson, R. A., Mensah, M. L. K., Annan, K., Loiseau, P. M., & Champy, P. (2015)","Medicinal plants and finished marketed herbal products used in the treatment of malaria in the Ashanti region, Ghana",Journal of ethnopharmacology ,172,333-346,1995,1995,1995,
Terminalia avicennioides,Terminalia avicennioides Guill.&.Perr. ,Health care,treating boils,Medicine: Infections,Eastern Region,56,"Pesewu, G. A., Cutler, R. R., & Humber, D. P. (2008)",Antibacterial activity of plants used in traditional medicines of Ghana with particular reference to MRSA.,Journal of ethnopharmacology,116(1) ,102-111,1959,1973,1995,
Terminalia catappa,Terminalia catappa L.,Health care,treating malaria,Medicine: Malaria,Ashanti Region,5,"Asase, A., & Asafo-Agyei, T. (2011)",Plants used for treatment of malaria in communities around the Bobiri forest reserve in Ghana,"Journal of herbs, spices & medicinal plants ",17(2) ,85-118,NA,NA,NA,Terminalia catapa was recorded in the paper but GBIF found it as Terminalia catappa 
Terminalia catappa,Terminalia catappa L.,Health care,treating malaria,Medicine: Malaria,Ashanti Region,5,"Komlaga, G., Agyare, C., Dickson, R. A., Mensah, M. L. K., Annan, K., Loiseau, P. M., & Champy, P. (2015)","Medicinal plants and finished marketed herbal products used in the treatment of malaria in the Ashanti region, Ghana",Journal of ethnopharmacology ,172,333-346,2010,2011,2012,
Terminalia catappa,Terminalia catappa L.,Health care,"treating stomach, skin and breast cancer",Medicine: Cancer,Ashanti Region,5,"Agyare, C., Spiegler, V., Asase, A., Scholz, M., Hempel, G., & Hensel, A. (2018) ","An ethnopharmacological survey of medicinal plants traditionally used for cancer treatment in the Ashanti region, Ghana",Journal of ethnopharmacology ,212,137-152,2010,2011,2012,
Terminalia ivorensis,Terminalia ivorensis A.Chev.,Health care,treating fever,Medicine: Fever,Brong-Ahafo Region,54,"Addo-Fordjour, P., Belford, E. J. D., & Akonnor, D. (2013)","Diversity and conservation of medicinal plants in the Bomaa community of the Brong Ahafo region, Ghana",Journal of medicinal plants research ,2(9) ,226-233,1967,1995,1995,
Terminalia ivorensis,Terminalia ivorensis A.Chev.,Health care,treating stomach upset,Medicine: Stomach upset,Brong-Ahafo Region,54,"Addo-Fordjour, P., Belford, E. J. D., & Akonnor, D. (2013)","Diversity and conservation of medicinal plants in the Bomaa community of the Brong Ahafo region, Ghana",Journal of medicinal plants research ,2(9) ,226-233,1967,1995,1995,
Terminalia ivorensis,,Health care,treating diarrhoea,Medicine: Diarrhoea,Brong-Ahafo Region,,"Henry, S. G., Francis, A., & Kofi, A. (2013)",Ethnobotanical survey of medicinal plants used for the treatment of diarrhoea and skin ulcer in the Brong Ahafo region of Ghana,Journal of Medicinal Plants Research ,7(44) ,3280-3285,1967,1995,1995,
Terminalia ivorensis,Terminalia ivorensis A. Chev.,Health care,treating malaria,Medicine: Malaria,Ashanti Region,54,"Komlaga, G., Agyare, C., Dickson, R. A., Mensah, M. L. K., Annan, K., Loiseau, P. M., & Champy, P. (2015)","Medicinal plants and finished marketed herbal products used in the treatment of malaria in the Ashanti region, Ghana",Journal of ethnopharmacology ,172,333-346,1967,1995,1995,
Terminalia ivorensis,Terminalia ivorensis A.Chev. ,Health care,treating skin and lung cancer,Medicine: Cancer,Ashanti Region,54,"Agyare, C., Spiegler, V., Asase, A., Scholz, M., Hempel, G., & Hensel, A. (2018) ","An ethnopharmacological survey of medicinal plants traditionally used for cancer treatment in the Ashanti region, Ghana",Journal of ethnopharmacology ,212,137-152,1967,1995,1995,
Terminalia macroptera,Terminalia macroptera Guill. & Perr.,Health care,treating piles,Medicine: Piles,Upper West Region,6,"Wodah, D., & Asase, A. (2012)",Ethnopharmacological use of plants by Sisala traditional healers in northwest Ghana,Pharmaceutical biology ,50(7) ,807-815,1960,1974,1987,
Terminalia macroptera,"Terminalia macroptera
Guill. & Perr.",Energy,used as fuel wood for cooking,Fuel,Upper West Region,6,"Asase, A., & Oteng-Yeboah, A. A. (2012)",Plants used in Wechiau Community Hippopotamus Sanctuary in Northwest Ghana,Ethnobotany Research and Applications,10,605-618,1960,1974,1987,
Terminalia macroptera,"Terminalia macroptera
Guill. & Perr.",Construction,used for roofing buildings,Building materials,Upper West Region,6,"Asase, A., & Oteng-Yeboah, A. A. (2012)",Plants used in Wechiau Community Hippopotamus Sanctuary in Northwest Ghana,Ethnobotany Research and Applications,10,605-618,1960,1974,1987,
Terminalia superba,Terminalia superba Engl. & Diels,Health care,treating convulsion ,Medicine: Convulsion,Greater Accra Region,42,"Boadu, A. A., & Asase, A. (2017)",Documentation of herbal medicines used for the treatment and Management of Human Diseases by some communities in southern Ghana,Evidence-Based Complementary and Alternative Medicine ,,2017,1956,1979,1994,
Terminalia superba,Terminalia superba Engl.and Diels,Health care,treating stomach ulcer,Medicine: Ulcer,Brong-Ahafo Region,42,"Addo-Fordjour, P., Belford, E. J. D., & Akonnor, D. (2013)","Diversity and conservation of medicinal plants in the Bomaa community of the Brong Ahafo region, Ghana",Journal of medicinal plants research ,2(9) ,226-233,1956,1979,1994,
Terminalia superba,Terminalia superba Engl. & Diels ,Health care,"treating stomach, lung, skin and prostate cancer",Medicine: Cancer,Ashanti Region,42,"Agyare, C., Spiegler, V., Asase, A., Scholz, M., Hempel, G., & Hensel, A. (2018) ","An ethnopharmacological survey of medicinal plants traditionally used for cancer treatment in the Ashanti region, Ghana",Journal of ethnopharmacology ,212,137-152,1956,1979,1994,
"Terminalia 
avicennioides","Terminalia 
avicennioides Guill.
& Perr. ",Health care,treating coughs ,Medicine: Cough,Upper West Region,56,"Asase, A., & Oteng-Yeboah, A. A. (2012)",Plants used in Wechiau Community Hippopotamus Sanctuary in Northwest Ghana,Ethnobotany Research and Applications,10,605-618,1959,1973,1995,
"Terminalia 
avicennioides","Terminalia 
avicennioides Guill.
& Perr. ",Health care,treating eye problems,Medicine: Eye care,Upper West Region,56,"Asase, A., & Oteng-Yeboah, A. A. (2012)",Plants used in Wechiau Community Hippopotamus Sanctuary in Northwest Ghana,Ethnobotany Research and Applications,10,605-618,1959,1973,1995,
"Terminalia 
avicennioides","Terminalia 
avicennioides Guill.
& Perr. ",Energy,used as fuel wood for cooking,Fuel,Upper West Region,56,"Asase, A., & Oteng-Yeboah, A. A. (2012)",Plants used in Wechiau Community Hippopotamus Sanctuary in Northwest Ghana,Ethnobotany Research and Applications,10,605-618,1959,1973,1995,
"Terminalia 
avicennioides","Terminalia 
avicennioides Guill.
& Perr. ",Construction,used for roofing buildings,Building materials,Upper West Region,56,"Asase, A., & Oteng-Yeboah, A. A. (2012)",Plants used in Wechiau Community Hippopotamus Sanctuary in Northwest Ghana,Ethnobotany Research and Applications,10,605-618,1959,1973,1995,
"Terminalia 
avicennioides","Terminalia 
avicennioides Guill.
& Perr. ",Social,used for carving artefacts,Artefacts,Upper West Region,56,"Asase, A., & Oteng-Yeboah, A. A. (2012)",Plants used in Wechiau Community Hippopotamus Sanctuary in Northwest Ghana,Ethnobotany Research and Applications,10,605-618,1959,1973,1995,
Tetrapleura tetraptera,Tetrapleura tetraptera Taub.,Health care,treating malaria,Medicine: Malaria,Ashanti Region,23,"Asase, A., & Asafo-Agyei, T. (2011)",Plants used for treatment of malaria in communities around the Bobiri forest reserve in Ghana,"Journal of herbs, spices & medicinal plants ",17(2) ,85-125,1994,1996,1996,
Tetrapleura tetraptera,Tetrapleura tetraptera (Schumach. &Thonn.) Taub.,Health care,treating malaria,Medicine: Malaria,Ashanti Region,0,"Komlaga, G., Agyare, C., Dickson, R. A., Mensah, M. L. K., Annan, K., Loiseau, P. M., & Champy, P. (2015)","Medicinal plants and finished marketed herbal products used in the treatment of malaria in the Ashanti region, Ghana",Journal of ethnopharmacology ,172,333-346,1994,1996,1996,
Thalia geniculata,Thalia geniculata L.,Health care,treating skin,Medicine: Cancer,Ashanti Region,16,"Agyare, C., Spiegler, V., Asase, A., Scholz, M., Hempel, G., & Hensel, A. (2018) ","An ethnopharmacological survey of medicinal plants traditionally used for cancer treatment in the Ashanti region, Ghana",Journal of ethnopharmacology ,212,137-152,1963,1995,1995,
Thaumatococcus daniellii,Thaumatococcus daniellii (Bennet) Benth.,Health care,used as dewormer,Medicine: Laxative,Brong-Ahafo Region,0,"Addo-Fordjour, P., Belford, E. J. D., & Akonnor, D. (2013)","Diversity and conservation of medicinal plants in the Bomaa community of the Brong Ahafo region, Ghana",Journal of medicinal plants research ,2(9) ,226-233,NA,NA,NA,"Thaumatococcus danielliewas found in the paper but in GBIF, it appeared as Thaumatococcus daniellii"
Thaumatococcus daniellii,Thaumatococcus daniellii (Benn.) Benth. & Hook. F.,Health care,treating malaria,Medicine: Malaria,Ashanti Region,0,"Komlaga, G., Agyare, C., Dickson, R. A., Mensah, M. L. K., Annan, K., Loiseau, P. M., & Champy, P. (2015)","Medicinal plants and finished marketed herbal products used in the treatment of malaria in the Ashanti region, Ghana",Journal of ethnopharmacology ,172,333-346,1956,1966,1998,
Theobroma cacao,Theobroma cacao L.,Health care,treating cough,Medicine: Coughs,Brong-Ahafo Region,15,"Addo-Fordjour, P., Belford, E. J. D., & Akonnor, D. (2013)","Diversity and conservation of medicinal plants in the Bomaa community of the Brong Ahafo region, Ghana",Journal of medicinal plants research ,2(9) ,226-233,1996,2000,2008,
Theobroma cacao,Theobroma cacao L.,Health care,treating inner pains,Medicine: Analgesic,Brong-Ahafo Region,15,"Addo-Fordjour, P., Belford, E. J. D., & Akonnor, D. (2013)","Diversity and conservation of medicinal plants in the Bomaa community of the Brong Ahafo region, Ghana",Journal of medicinal plants research ,2(9) ,226-233,1996,2000,2008,
Theobroma cacao,Theobroma cacao L.,Health care,treating malaria,Medicine: Malaria,Ashanti Region,16,"Asase, A., & Asafo-Agyei, T. (2011)",Plants used for treatment of malaria in communities around the Bobiri forest reserve in Ghana,"Journal of herbs, spices & medicinal plants ",17(2) ,85-134,1996,2000,2008,
Theobroma cacao,Theobroma cacao L.,Health care,treating malaria,Medicine: Malaria,Ashanti Region,15,"Komlaga, G., Agyare, C., Dickson, R. A., Mensah, M. L. K., Annan, K., Loiseau, P. M., & Champy, P. (2015)","Medicinal plants and finished marketed herbal products used in the treatment of malaria in the Ashanti region, Ghana",Journal of ethnopharmacology ,172,333-346,1996,2000,2008,
Thevetia peruviana ,,Agriculture,used as protectants of stored grains,Post-harvest protectant,Ashanti Region,,"Cobbinah, J. R., Moss, C., Golob, P., & Belmain, S. R. (1999)",Conducting ethnobotanical surveys: an example from Ghana on plants used for the protection of stored cereals and pulses ,(NRI Bulletin 77),,,NA,NA,NA,
Thunbergia alata,Thunbergia alata Bojer ex Sims,Health care,treating stomach cancer,Medicine: Cancer,Ashanti Region,13,"Agyare, C., Spiegler, V., Asase, A., Scholz, M., Hempel, G., & Hensel, A. (2018) ","An ethnopharmacological survey of medicinal plants traditionally used for cancer treatment in the Ashanti region, Ghana",Journal of ethnopharmacology ,212,137-152,1948,1961,1974,
Tiliacora funifera,Tiliacora funifera(Miers)Oliv.,Health care,treating breast and throat cancer,Medicine: Cancer,Ashanti Region,49,"Agyare, C., Spiegler, V., Asase, A., Scholz, M., Hempel, G., & Hensel, A. (2018) ","An ethnopharmacological survey of medicinal plants traditionally used for cancer treatment in the Ashanti region, Ghana",Journal of ethnopharmacology ,212,137-152,1967,1967,1967,
Trema orientalis,Trema orientalis (L.) Blume,Health care,treating malaria,Medicine: Malaria,Ashanti Region,86,"Komlaga, G., Agyare, C., Dickson, R. A., Mensah, M. L. K., Annan, K., Loiseau, P. M., & Champy, P. (2015)","Medicinal plants and finished marketed herbal products used in the treatment of malaria in the Ashanti region, Ghana",Journal of ethnopharmacology ,172,333-346,1953,1963,1995,
Trichilia martineaui,Trichilia martineaui Aubrév. & Pellegr.,Health care,treating candidiasis,Medicine: Infections,Brong-Ahafo Region,4,"Addo-Fordjour, P., Belford, E. J. D., & Akonnor, D. (2013)","Diversity and conservation of medicinal plants in the Bomaa community of the Brong Ahafo region, Ghana",Journal of medicinal plants research ,2(9) ,226-233,1976,1976,1976,
Trichilia monadelpha,Trichilia monadelpha (Thonn.) de Wild.,Health care,treating waist pains,Medicine: Analgesic,Brong-Ahafo Region,50,"Addo-Fordjour, P., Belford, E. J. D., & Akonnor, D. (2013)","Diversity and conservation of medicinal plants in the Bomaa community of the Brong Ahafo region, Ghana",Journal of medicinal plants research ,2(9) ,226-233,1956,1995,2003,
Trichilia monadelpha,Trichilia monadelpha (Thonn.) de Wild.,Health care,treating candidiasis,Medicine: Infections,Brong-Ahafo Region,50,"Addo-Fordjour, P., Belford, E. J. D., & Akonnor, D. (2013)","Diversity and conservation of medicinal plants in the Bomaa community of the Brong Ahafo region, Ghana",Journal of medicinal plants research ,2(9) ,226-233,1956,1995,2003,
Trichilia monadelpha,,Health care,treating typhoid,Medicine: Fever,Greater Accra Region,0,"Asase, A., & Kadera, M. L. (2014)",Herbal medicines for child healthcare from Ghana,Journal of Herbal Medicine,4(1),24-36,1956,1995,2003,
Tridax procumbens,Tridax procumbens L.,Food and nutrition,whole plant is used as food,Food,Upper West Region,28,"Asase, A., & Oteng-Yeboah, A. A. (2012)",Plants used in Wechiau Community Hippopotamus Sanctuary in Northwest Ghana,Ethnobotany Research and Applications,10,605-618,1986,2005,2012,
Tridax procumbens,Tridax procumbens L.,Agriculture,used for feeding livestocks,Fodder,Upper West Region,28,"Asase, A., & Oteng-Yeboah, A. A. (2012)",Plants used in Wechiau Community Hippopotamus Sanctuary in Northwest Ghana,Ethnobotany Research and Applications,10,605-618,1986,2005,2012,
Tridax procumbens,Tridax procumbens (L.) L.,Health care,treating skin and breast cancer,Medicine: Cancer,Ashanti Region,28,"Agyare, C., Spiegler, V., Asase, A., Scholz, M., Hempel, G., & Hensel, A. (2018) ","An ethnopharmacological survey of medicinal plants traditionally used for cancer treatment in the Ashanti region, Ghana",Journal of ethnopharmacology ,212,137-152,1986,2005,2012,
Tridax procumbens ,Tridax procumbens L.,Health care,treating malaria,Medicine: Malaria,Ashanti Region,28,"Komlaga, G., Agyare, C., Dickson, R. A., Mensah, M. L. K., Annan, K., Loiseau, P. M., & Champy, P. (2015)","Medicinal plants and finished marketed herbal products used in the treatment of malaria in the Ashanti region, Ghana",Journal of ethnopharmacology ,172,333-346,1986,2005,2012,
Trilepisium madagascariense,Trilepisium madagascariense DC.,Health care,treating candidiasis,Medicine: Infections,Brong-Ahafo Region,22,"Addo-Fordjour, P., Belford, E. J. D., & Akonnor, D. (2013)","Diversity and conservation of medicinal plants in the Bomaa community of the Brong Ahafo region, Ghana",Journal of medicinal plants research ,2(9) ,226-233,1938,1963,1987,
